id,year,occ_id,occ_title,level,employment,emp_prse,hourly_mean,annual_mean,hourly_pct10,hourly_pct25,hourly_median,hourly_pct75,hourly_pct90,annual_pct10,annual_pct25,annual_median,annual_pct75,annual_pct90
189,2014,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"24,530",1.9,40.79,"84,850",23.2,30.07,39.34,50.43,60.99,"48,260","62,540","81,830","104,900","126,850"
190,2014,17-2112,Industrial Engineers,detailed,"236,990",1.1,40.92,"85,110",25.24,31.52,39.18,48.62,59.33,"52,510","65,560","81,490","101,140","123,400"
191,2014,17-2120,Marine Engineers and Naval Architects,broad,"7,570",5.5,47.67,"99,160",28.42,35.51,44.68,56.21,70.59,"59,110","73,870","92,930","116,910","146,840"
192,2014,17-2121,Marine Engineers and Naval Architects,detailed,"7,570",5.5,47.67,"99,160",28.42,35.51,44.68,56.21,70.59,"59,110","73,870","92,930","116,910","146,840"
193,2014,17-2130,Materials Engineers,broad,"24,990",2.6,43.82,"91,150",25.62,32.86,42.16,54.15,66.56,"53,290","68,360","87,690","112,630","138,450"
194,2014,17-2131,Materials Engineers,detailed,"24,990",2.6,43.82,"91,150",25.62,32.86,42.16,54.15,66.56,"53,290","68,360","87,690","112,630","138,450"
195,2014,17-2140,Mechanical Engineers,broad,"270,700",1.3,41.89,"87,140",25.58,31.79,39.93,50.15,60.79,"53,210","66,110","83,060","104,310","126,430"
196,2014,17-2141,Mechanical Engineers,detailed,"270,700",1.3,41.89,"87,140",25.58,31.79,39.93,50.15,60.79,"53,210","66,110","83,060","104,310","126,430"
197,2014,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad,"8,200",4.5,48.54,"100,970",25.38,32.43,43.34,57.49,76.45,"52,780","67,450","90,160","119,580","159,010"
198,2014,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"8,200",4.5,48.54,"100,970",25.38,32.43,43.34,57.49,76.45,"52,780","67,450","90,160","119,580","159,010"
199,2014,17-2160,Nuclear Engineers,broad,"16,520",4.8,50.3,"104,630",32.16,39.15,48.3,57.79,72.94,"66,890","81,440","100,470","120,210","151,710"
200,2014,17-2161,Nuclear Engineers,detailed,"16,520",4.8,50.3,"104,630",32.16,39.15,48.3,57.79,72.94,"66,890","81,440","100,470","120,210","151,710"
201,2014,17-2170,Petroleum Engineers,broad,"33,740",3.8,70.92,"147,520",35.57,46.82,62.53,89.04,#,"73,990","97,390","130,050","185,200",#
202,2014,17-2171,Petroleum Engineers,detailed,"33,740",3.8,70.92,"147,520",35.57,46.82,62.53,89.04,#,"73,990","97,390","130,050","185,200",#
203,2014,17-2190,Miscellaneous Engineers,broad,"124,570",1.4,46.32,"96,350",24.72,33.71,45.31,57.9,70.76,"51,410","70,110","94,240","120,440","147,190"
204,2014,17-2199,"Engineers, All Other",detailed,"124,570",1.4,46.32,"96,350",24.72,33.71,45.31,57.9,70.76,"51,410","70,110","94,240","120,440","147,190"
