id,year,occ_id,occ_title,level,employment,emp_prse,hourly_mean,annual_mean,hourly_pct10,hourly_pct25,hourly_median,hourly_pct75,hourly_pct90,annual_pct10,annual_pct25,annual_median,annual_pct75,annual_pct90
2789,2016,00-0000,All Occupations,total,"140,400,040",0.1,23.86,"49,630",9.27,11.6,17.81,28.92,45.45,"19,290","24,140","37,040","60,150","94,540"
2790,2016,11-0000,Management Occupations,major,"7,090,790",0.2,56.74,"118,020",22.76,32.99,48.46,70.72,#,"47,330","68,630","100,790","147,090",#
2791,2016,11-1000,Top Executives,minor,"2,465,800",0.2,61.03,"126,950",20.58,31.45,49.19,78.35,#,"42,810","65,420","102,320","162,970",#
2792,2016,11-1010,Chief Executives,broad,"223,260",0.7,93.44,"194,350",33.55,54.86,87.12,#,#,"69,780","114,100","181,210",#,#
2793,2016,11-1011,Chief Executives,detailed,"223,260",0.7,93.44,"194,350",33.55,54.86,87.12,#,#,"69,780","114,100","181,210",#,#
2794,2016,11-1020,General and Operations Managers,broad,"2,188,870",0.3,58.7,"122,090",21.29,31.2,47.74,74.53,#,"44,290","64,890","99,310","155,020",#
2795,2016,11-1021,General and Operations Managers,detailed,"2,188,870",0.3,58.7,"122,090",21.29,31.2,47.74,74.53,#,"44,290","64,890","99,310","155,020",#
2796,2016,11-1030,Legislators,broad,"53,670",1.3,*,"44,820",*,*,*,*,*,"17,230","18,560","23,470","67,670","96,500"
2797,2016,11-1031,Legislators,detailed,"53,670",1.3,*,"44,820",*,*,*,*,*,"17,230","18,560","23,470","67,670","96,500"
2798,2016,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"663,960",0.5,65.39,"136,020",28.1,39.82,57.89,81.3,#,"58,450","82,820","120,420","169,110",#
2799,2016,10-Nov,Advertising and Promotions Managers,broad,"28,860",2.3,56.64,"117,810",21.61,32.21,48.47,70.98,#,"44,950","67,000","100,810","147,640",#
2800,2016,11-Nov,Advertising and Promotions Managers,detailed,"28,860",2.3,56.64,"117,810",21.61,32.21,48.47,70.98,#,"44,950","67,000","100,810","147,640",#
2801,2016,20-Nov,Marketing and Sales Managers,broad,"571,120",0.6,66.52,"138,350",28.5,40.52,59.1,82.88,#,"59,280","84,270","122,930","172,390",#
2802,2016,21-Nov,Marketing Managers,detailed,"205,900",1,69.3,"144,140",32.45,44.81,63.07,85.91,#,"67,490","93,200","131,180","178,690",#
2803,2016,22-Nov,Sales Managers,detailed,"365,230",0.6,64.95,"135,090",26.82,38.18,56.71,80.91,#,"55,790","79,420","117,960","168,300",#
2804,2016,30-Nov,Public Relations and Fundraising Managers,broad,"63,970",1.1,59.31,"123,360",28.4,37.84,51.59,73.06,98.61,"59,070","78,710","107,320","151,970","205,110"
2805,2016,Nov-31,Public Relations and Fundraising Managers,detailed,"63,970",1.1,59.31,"123,360",28.4,37.84,51.59,73.06,98.61,"59,070","78,710","107,320","151,970","205,110"
2806,2016,Nov-00,Operations Specialties Managers,minor,"1,693,430",0.4,60.32,"125,470",29.34,39.27,53.88,73.68,98.49,"61,040","81,680","112,080","153,250","204,860"
2807,2016,10-Nov,Administrative Services Managers,broad,"266,280",0.7,47.56,"98,930",23.69,31.82,43.29,58.17,76.6,"49,270","66,180","90,050","120,990","159,330"
2808,2016,11-Nov,Administrative Services Managers,detailed,"266,280",0.7,47.56,"98,930",23.69,31.82,43.29,58.17,76.6,"49,270","66,180","90,050","120,990","159,330"
2809,2016,20-Nov,Computer and Information Systems Managers,broad,"352,510",0.9,70.07,"145,740",39.6,50.62,65.29,82.05,#,"82,360","105,290","135,800","170,670",#
2810,2016,21-Nov,Computer and Information Systems Managers,detailed,"352,510",0.9,70.07,"145,740",39.6,50.62,65.29,82.05,#,"82,360","105,290","135,800","170,670",#
2811,2016,30-Nov,Financial Managers,broad,"543,300",0.6,67.17,"139,720",31.25,42.08,58.54,81.15,#,"65,000","87,530","121,750","168,790",#
2812,2016,Nov-31,Financial Managers,detailed,"543,300",0.6,67.17,"139,720",31.25,42.08,58.54,81.15,#,"65,000","87,530","121,750","168,790",#
2813,2016,Nov-50,Industrial Production Managers,broad,"168,400",0.6,51.47,"107,060",28.18,35.9,46.7,61.34,79.54,"58,610","74,670","97,140","127,590","165,450"
2814,2016,Nov-51,Industrial Production Managers,detailed,"168,400",0.6,51.47,"107,060",28.18,35.9,46.7,61.34,79.54,"58,610","74,670","97,140","127,590","165,450"
2815,2016,Nov-60,Purchasing Managers,broad,"71,750",0.9,56.6,"117,720",30.47,39.85,53.65,68.67,85.37,"63,380","82,880","111,590","142,820","177,560"
2816,2016,Nov-61,Purchasing Managers,detailed,"71,750",0.9,56.6,"117,720",30.47,39.85,53.65,68.67,85.37,"63,380","82,880","111,590","142,820","177,560"
2817,2016,Nov-70,"Transportation, Storage, and Distribution Managers",broad,"113,270",1.1,46.94,"97,630",25.32,32.76,42.88,56.39,73.43,"52,670","68,140","89,190","117,300","152,730"
2818,2016,Nov-71,"Transportation, Storage, and Distribution Managers",detailed,"113,270",1.1,46.94,"97,630",25.32,32.76,42.88,56.39,73.43,"52,670","68,140","89,190","117,300","152,730"
2819,2016,10-Nov,Compensation and Benefits Managers,broad,"15,230",1.5,61.01,"126,900",31.8,41.89,55.89,75.03,96.13,"66,150","87,120","116,240","156,050","199,950"
