id,year,occ_id,occ_title,level,employment,emp_prse,hourly_mean,annual_mean,hourly_pct10,hourly_pct25,hourly_median,hourly_pct75,hourly_pct90,annual_pct10,annual_pct25,annual_median,annual_pct75,annual_pct90
4183,2017,00-0000,All Occupations,total,"142,549,250",0.1,24.34,"50,620",9.6,11.91,18.12,29.38,46.23,"19,970","24,770","37,690","61,110","96,150"
4184,2017,11-0000,Management Occupations,major,"7,280,330",0.2,57.65,"119,910",23.19,33.6,49.32,71.83,#,"48,220","69,880","102,590","149,410",#
4185,2017,11-1000,Top Executives,minor,"2,473,740",0.3,61.55,"128,020",20.74,31.74,49.58,78.72,#,"43,140","66,030","103,120","163,740",#
4186,2017,11-1010,Chief Executives,broad,"210,160",0.7,94.25,"196,050",32.74,54.55,88.11,#,#,"68,110","113,470","183,270",#,#
4187,2017,11-1011,Chief Executives,detailed,"210,160",0.7,94.25,"196,050",32.74,54.55,88.11,#,#,"68,110","113,470","183,270",#,#
4188,2017,11-1020,General and Operations Managers,broad,"2,212,200",0.3,59.35,"123,460",21.4,31.53,48.27,75.28,#,"44,510","65,590","100,410","156,580",#
4189,2017,11-1021,General and Operations Managers,detailed,"2,212,200",0.3,59.35,"123,460",21.4,31.53,48.27,75.28,#,"44,510","65,590","100,410","156,580",#
4190,2017,11-1030,Legislators,broad,"51,380",1.3,*,"46,350",*,*,*,*,*,"17,480","18,860","25,630","70,130","97,510"
4191,2017,11-1031,Legislators,detailed,"51,380",1.3,*,"46,350",*,*,*,*,*,"17,480","18,860","25,630","70,130","97,510"
4192,2017,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"685,780",0.5,66.66,"138,650",29.1,41.13,59.19,82.51,#,"60,530","85,560","123,100","171,630",#
4193,2017,10-Nov,Advertising and Promotions Managers,broad,"28,100",2.6,59.56,"123,880",23.15,34.47,51.03,74.89,#,"48,150","71,690","106,130","155,760",#
4194,2017,11-Nov,Advertising and Promotions Managers,detailed,"28,100",2.6,59.56,"123,880",23.15,34.47,51.03,74.89,#,"48,150","71,690","106,130","155,760",#
4195,2017,20-Nov,Marketing and Sales Managers,broad,"590,380",0.5,67.6,"140,600",29.45,41.73,60.24,83.93,#,"61,250","86,810","125,290","174,570",#
4196,2017,21-Nov,Marketing Managers,detailed,"218,970",0.8,70.01,"145,620",32.93,45.25,63.57,86.57,#,"68,490","94,110","132,230","180,070",#
4197,2017,22-Nov,Sales Managers,detailed,"371,410",0.6,66.18,"137,650",27.69,39.66,58.2,82.11,#,"57,590","82,490","121,060","170,790",#
4198,2017,30-Nov,Public Relations and Fundraising Managers,broad,"67,300",1.1,61.39,"127,690",29.39,39.19,53.5,74.92,#,"61,130","81,510","111,280","155,830",#
4199,2017,Nov-31,Public Relations and Fundraising Managers,detailed,"67,300",1.1,61.39,"127,690",29.39,39.19,53.5,74.92,#,"61,130","81,510","111,280","155,830",#
4200,2017,Nov-00,Operations Specialties Managers,minor,"1,752,130",0.3,62.24,"129,450",30.6,40.62,55.62,75.56,#,"63,660","84,490","115,700","157,160",#
4201,2017,10-Nov,Administrative Services Managers,broad,"270,100",0.6,49.7,"103,380",25.36,33.46,45.2,60.25,78.6,"52,750","69,590","94,020","125,310","163,480"
4202,2017,11-Nov,Administrative Services Managers,detailed,"270,100",0.6,49.7,"103,380",25.36,33.46,45.2,60.25,78.6,"52,750","69,590","94,020","125,310","163,480"
4203,2017,20-Nov,Computer and Information Systems Managers,broad,"365,690",0.8,71.99,"149,730",40.32,51.8,66.93,84.56,#,"83,860","107,740","139,220","175,890",#
4204,2017,21-Nov,Computer and Information Systems Managers,detailed,"365,690",0.8,71.99,"149,730",40.32,51.8,66.93,84.56,#,"83,860","107,740","139,220","175,890",#
4205,2017,30-Nov,Financial Managers,broad,"569,380",0.6,69.01,"143,530",31.96,43.11,60.14,83.62,#,"66,480","89,670","125,080","173,920",#
4206,2017,Nov-31,Financial Managers,detailed,"569,380",0.6,69.01,"143,530",31.96,43.11,60.14,83.62,#,"66,480","89,670","125,080","173,920",#
4207,2017,Nov-50,Industrial Production Managers,broad,"171,520",0.6,53.16,"110,580",29.5,37.48,48.36,62.89,81.15,"61,360","77,970","100,580","130,820","168,780"
4208,2017,Nov-51,Industrial Production Managers,detailed,"171,520",0.6,53.16,"110,580",29.5,37.48,48.36,62.89,81.15,"61,360","77,970","100,580","130,820","168,780"
4209,2017,Nov-60,Purchasing Managers,broad,"70,430",0.8,58.56,"121,810",32.04,41.67,55.65,70.57,87.87,"66,630","86,670","115,760","146,780","182,780"
